input,intent,botName
I would like to speak to a person knowledgeable about the bill charges and the options,Agent transfer,Common_Dev_UNI_FEB28
I would like to speak to a representative to ask questions about billing for spectrum TV and Internet,Agent transfer,Common_Dev_UNI_FEB28
I would like to speak with someone regarding billing for spectrum TV,Agent transfer,Common_Dev_UNI_FEB28
I would like to speak to customer service about spectrum TV having that removed from my bill,Agent transfer,Common_Dev_UNI_FEB28
I would like to discuss with a billing operator to discuss the potential of my billing contract,Agent transfer,Common_Dev_UNI_FEB28
I would like to speak to billing concerning the spectrum not having the Walt Disney channels,Agent transfer,Common_Dev_UNI_FEB28
Question about my bill because it's wrong,Agent transfer,Common_Dev_UNI_FEB28
Help fucking bill,Agent transfer,Common_Dev_UNI_FEB28
Lower my god damn bill,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill with an associate,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill with an operator,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill to an agent,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill using an agent,Agent transfer,Common_Dev_UNI_FEB28
My bill changing my bill,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill with an agent,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill an agent,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill with a agent,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill by agent,Agent transfer,Common_Dev_UNI_FEB28
Credit my bill for,Agent transfer,Common_Dev_UNI_FEB28
Lower my bill and refund,Agent transfer,Common_Dev_UNI_FEB28
Transfer the transfer the bill,Agent transfer,Common_Dev_UNI_FEB28
Error on bill fucking bitches,Agent transfer,Common_Dev_UNI_FEB28
Change my fucking bill,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill bitches representative,Agent transfer,Common_Dev_UNI_FEB28
Fix my fucking bill,Agent transfer,Common_Dev_UNI_FEB28
Dispute my fucking bill,Agent transfer,Common_Dev_UNI_FEB28
Adjust my fucking bill,Agent transfer,Common_Dev_UNI_FEB28
Lower my fucking bill,Agent transfer,Common_Dev_UNI_FEB28
I'm calling about my cable bill how much is going to be,Agent transfer,Common_Dev_UNI_FEB28
Amount of bill give me a representative,Agent transfer,Common_Dev_UNI_FEB28
Representative the amount of my bill,Agent transfer,Common_Dev_UNI_FEB28
Change my damn bill,Agent transfer,Common_Dev_UNI_FEB28
I need to speak with someone about my billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to a representative with billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to talk to a representative in billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to a customer service representative in billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to someone in the billing department a representative please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak speak to Anastasia in billing please,Agent transfer,Common_Dev_UNI_FEB28
I want to speak with a billing supervisor please,Agent transfer,Common_Dev_UNI_FEB28
I need to talk to the representative for billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to a billing customer service please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak with a representative in billing please,Agent transfer,Common_Dev_UNI_FEB28
Yes I need to speak with a representative about billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to someone concerning billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to talk to a representative please in billing,Agent transfer,Common_Dev_UNI_FEB28
I need to have a billing department customer service representative please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak with someone in the billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to a representative about my billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to an operator about my billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to talk to a billing agent please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to a billing agent please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak with a rep please about billing,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to a representative please in billing,Agent transfer,Common_Dev_UNI_FEB28
I want to speak to someone in the billing department please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak with the billing department please,Agent transfer,Common_Dev_UNI_FEB28
I want to talk to the billing department please,Agent transfer,Common_Dev_UNI_FEB28
I need to talk to the billing department please,Agent transfer,Common_Dev_UNI_FEB28
I want to talk to a billing representative please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to a billing specialist please,Agent transfer,Common_Dev_UNI_FEB28
I need to talk to a technician please and then billing,Agent transfer,Common_Dev_UNI_FEB28
I need to talk to an agent please billing agent,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to your billing department please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to the billing department please,Agent transfer,Common_Dev_UNI_FEB28
I want to speak to the billing department please,Agent transfer,Common_Dev_UNI_FEB28
I need to talk to a rep for billing please billing,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to somebody in billing in billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to a billing representative please,Agent transfer,Common_Dev_UNI_FEB28
I need to talk to a billing specialist please an assistant,Agent transfer,Common_Dev_UNI_FEB28
I need to talk to the billing department please ma'am,Agent transfer,Common_Dev_UNI_FEB28
I need to speak with somebody in billing please,Agent transfer,Common_Dev_UNI_FEB28
I need assistance with like four thing please get me to a representative billing,Agent transfer,Common_Dev_UNI_FEB28
I need to talk with someone in billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to talk to somebody in billing please,Agent transfer,Common_Dev_UNI_FEB28
Upcoming bill I need to speak to someone in billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to talk to someone in billing please,Agent transfer,Common_Dev_UNI_FEB28
Customer service and billing please,Agent transfer,Common_Dev_UNI_FEB28
I want to speak to an agent in billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to talk to an agent in billing please,Agent transfer,Common_Dev_UNI_FEB28
An agent I need to speak with someone in billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to someone in billing please,Agent transfer,Common_Dev_UNI_FEB28
Agent please about billing,Agent transfer,Common_Dev_UNI_FEB28
My bill need to speak to someone in billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to somebody to get credit for in billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to talk to somebody about billing please,Agent transfer,Common_Dev_UNI_FEB28
I want to speak to someone in billing please,Agent transfer,Common_Dev_UNI_FEB28
Agent please question about billing,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to somebody in billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to pay the bill but I need to speak to somebody in billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to someone in billing please transfer me,Agent transfer,Common_Dev_UNI_FEB28
Representative please the billing department,Agent transfer,Common_Dev_UNI_FEB28
Representative please for billing question,Agent transfer,Common_Dev_UNI_FEB28
Representative please billing error,Agent transfer,Common_Dev_UNI_FEB28
A representative please regarding billing,Agent transfer,Common_Dev_UNI_FEB28
Billing department please billing billing,Agent transfer,Common_Dev_UNI_FEB28
Representative please on my billing,Agent transfer,Common_Dev_UNI_FEB28
Representative please regarding billing,Agent transfer,Common_Dev_UNI_FEB28
Representative please a billing question,Agent transfer,Common_Dev_UNI_FEB28
About billing please representative,Agent transfer,Common_Dev_UNI_FEB28
Please billing representative,Agent transfer,Common_Dev_UNI_FEB28
A representative please in billing,Agent transfer,Common_Dev_UNI_FEB28
Representative please about billing,Agent transfer,Common_Dev_UNI_FEB28
A representative for billing please,Agent transfer,Common_Dev_UNI_FEB28
Representative please representative in billing please,Agent transfer,Common_Dev_UNI_FEB28
Representative please channel line up billing,Agent transfer,Common_Dev_UNI_FEB28
Representative please to billing,Agent transfer,Common_Dev_UNI_FEB28
Representative on billing please,Agent transfer,Common_Dev_UNI_FEB28
Representative please on billing,Agent transfer,Common_Dev_UNI_FEB28
Please billing,Agent transfer,Common_Dev_UNI_FEB28
Representative please billing,Agent transfer,Common_Dev_UNI_FEB28
Representative please for billing,Agent transfer,Common_Dev_UNI_FEB28
Representative please building billing,Agent transfer,Common_Dev_UNI_FEB28
Representative please billing address is wrong,Agent transfer,Common_Dev_UNI_FEB28
Represent representative please billing,Agent transfer,Common_Dev_UNI_FEB28
Representative please in billing,Agent transfer,Common_Dev_UNI_FEB28
A representative in billing please,Agent transfer,Common_Dev_UNI_FEB28
Representative in billing please,Agent transfer,Common_Dev_UNI_FEB28
Representative please to discuss billing,Agent transfer,Common_Dev_UNI_FEB28
Representative please billing department,Agent transfer,Common_Dev_UNI_FEB28
Representative for billing please,Agent transfer,Common_Dev_UNI_FEB28
Representative please for billing please,Agent transfer,Common_Dev_UNI_FEB28
Assistance please assistance please billing,Agent transfer,Common_Dev_UNI_FEB28
Ibill representative please,Agent transfer,Common_Dev_UNI_FEB28
Representative billing please,Agent transfer,Common_Dev_UNI_FEB28
Representative please billing questions,Agent transfer,Common_Dev_UNI_FEB28
Billing billing please representative,Agent transfer,Common_Dev_UNI_FEB28
Yes customer service please billing,Agent transfer,Common_Dev_UNI_FEB28
About the billing agent please agent,Agent transfer,Common_Dev_UNI_FEB28
Representative please and billing,Agent transfer,Common_Dev_UNI_FEB28
Person in billing please,Agent transfer,Common_Dev_UNI_FEB28
Customer service please no billing,Agent transfer,Common_Dev_UNI_FEB28
Custom customer service please billing,Agent transfer,Common_Dev_UNI_FEB28
Billing billing balance customer service please,Agent transfer,Common_Dev_UNI_FEB28
Wrong bill billing customer service please,Agent transfer,Common_Dev_UNI_FEB28
Live representative billing please,Agent transfer,Common_Dev_UNI_FEB28
Customer service representative please billing,Agent transfer,Common_Dev_UNI_FEB28
Tech billing agent agent please,Agent transfer,Common_Dev_UNI_FEB28
Customer service billing please live representative,Agent transfer,Common_Dev_UNI_FEB28
Customer representative please billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service rep please billing,Agent transfer,Common_Dev_UNI_FEB28
One review billing customer service please,Agent transfer,Common_Dev_UNI_FEB28
Billing please customer service for billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service billing please billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service please billing in billing,Agent transfer,Common_Dev_UNI_FEB28
Billing customer service please for billing,Agent transfer,Common_Dev_UNI_FEB28
Operator customer service please billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service please representative billing,Agent transfer,Common_Dev_UNI_FEB28
Agent customer service billing a live agent please,Agent transfer,Common_Dev_UNI_FEB28
Billing billing agent customer service please,Agent transfer,Common_Dev_UNI_FEB28
Customer service agent please billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service department in billing please,Agent transfer,Common_Dev_UNI_FEB28
Yes I need to talk to somebody in billing please,Agent transfer,Common_Dev_UNI_FEB28
Account department please billing department,Agent transfer,Common_Dev_UNI_FEB28
Agent please billing service,Agent transfer,Common_Dev_UNI_FEB28
Customer service please billing inquiries,Agent transfer,Common_Dev_UNI_FEB28
Payments billing customer service please,Agent transfer,Common_Dev_UNI_FEB28
Yes I need to speak to billing please,Agent transfer,Common_Dev_UNI_FEB28
Customer service please billing and payment,Agent transfer,Common_Dev_UNI_FEB28
Customer service please billing billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service please billing department,Agent transfer,Common_Dev_UNI_FEB28
Yes I need to talk to someone in billing please,Agent transfer,Common_Dev_UNI_FEB28
Billing please agent billing,Agent transfer,Common_Dev_UNI_FEB28
Yes I need to speak with billing please,Agent transfer,Common_Dev_UNI_FEB28
Customer service please billing,Agent transfer,Common_Dev_UNI_FEB28
Billing department please customer service billing,Agent transfer,Common_Dev_UNI_FEB28
Okay let me speak to somebody in billing please,Agent transfer,Common_Dev_UNI_FEB28
Billing department please billing department please,Agent transfer,Common_Dev_UNI_FEB28
Yes billing I need to speak with billing,Agent transfer,Common_Dev_UNI_FEB28
I need I need to talk to someone about in billing please,Agent transfer,Common_Dev_UNI_FEB28
I need to I need to speak to somebody in billing please,Agent transfer,Common_Dev_UNI_FEB28
Billing billing live agent please billing agent,Agent transfer,Common_Dev_UNI_FEB28
Operator billing question operator please,Agent transfer,Common_Dev_UNI_FEB28
Yeah let me speak with someone in billing,Agent transfer,Common_Dev_UNI_FEB28
I need to I need to speak to somebody about billing please okay,Agent transfer,Common_Dev_UNI_FEB28
Okay let me speak to someone in billing,Agent transfer,Common_Dev_UNI_FEB28
Billing operator please billing,Agent transfer,Common_Dev_UNI_FEB28
Real person please billing,Agent transfer,Common_Dev_UNI_FEB28
Associate associate please billing,Agent transfer,Common_Dev_UNI_FEB28
Operator please billing,Agent transfer,Common_Dev_UNI_FEB28
Billing billing please billing agent please,Agent transfer,Common_Dev_UNI_FEB28
Billing supervisor please billing,Agent transfer,Common_Dev_UNI_FEB28
Agent please billing,Agent transfer,Common_Dev_UNI_FEB28
Billing please billing agent,Agent transfer,Common_Dev_UNI_FEB28
Operator please billing rep,Agent transfer,Common_Dev_UNI_FEB28
Agent please billing billing,Agent transfer,Common_Dev_UNI_FEB28
Manager please billing,Agent transfer,Common_Dev_UNI_FEB28
Yes yes I need to speak to someone in billing,Agent transfer,Common_Dev_UNI_FEB28
Supervisor please billing,Agent transfer,Common_Dev_UNI_FEB28
Representative please billing representative please billing,Agent transfer,Common_Dev_UNI_FEB28
Billing agent please billing,Agent transfer,Common_Dev_UNI_FEB28
No I need to speak to a customer service representative about my bill,Agent transfer,Common_Dev_UNI_FEB28
No I need to speak to somebody for billing,Agent transfer,Common_Dev_UNI_FEB28
Billing billing billing representative please,Agent transfer,Common_Dev_UNI_FEB28
Billing representative billing representative please billing representative,Agent transfer,Common_Dev_UNI_FEB28
Live agent please billing,Agent transfer,Common_Dev_UNI_FEB28
No I need to speak to the billing office,Agent transfer,Common_Dev_UNI_FEB28
I need to speak to someone about the affordability delete a connectivity program billing please,Agent transfer,Common_Dev_UNI_FEB28
Okay okay I need to talk to the bill billing department,Agent transfer,Common_Dev_UNI_FEB28
Yes I need to speak to a customer representative or billing department,Agent transfer,Common_Dev_UNI_FEB28
Yes I need to talk to an operator billing person,Agent transfer,Common_Dev_UNI_FEB28
Need to speak to a representative please about my bill,Agent transfer,Common_Dev_UNI_FEB28
I need a breakdown of my bill please connect me to an agent,Agent transfer,Common_Dev_UNI_FEB28
Yes I need to talk to the billing department,Agent transfer,Common_Dev_UNI_FEB28
No I need to speak to a representative about the billing,Agent transfer,Common_Dev_UNI_FEB28
Yes I need to speak to a customer representative about monthly billing,Agent transfer,Common_Dev_UNI_FEB28
Need to talk to a representative please concerning my billing,Agent transfer,Common_Dev_UNI_FEB28
Billing customer service billing please,Agent transfer,Common_Dev_UNI_FEB28
Assistance with billing and I need to talk to a real person agent please,Agent transfer,Common_Dev_UNI_FEB28
Need to speak with a representative please check my bill,Agent transfer,Common_Dev_UNI_FEB28
Need to talk to a representative about my billing please,Agent transfer,Common_Dev_UNI_FEB28
I have a double bill speak to an agent please,Agent transfer,Common_Dev_UNI_FEB28
Customer service please billing customer service please,Agent transfer,Common_Dev_UNI_FEB28
I have a problem with billing please give me a representative please,Agent transfer,Common_Dev_UNI_FEB28
Can I have a representative please I'm looking for my billing statement,Agent transfer,Common_Dev_UNI_FEB28
Need to talk to a representative please about my billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service please billing I guess billing,Agent transfer,Common_Dev_UNI_FEB28
Want to speak to a representative regarding our billing not make a payment,Agent transfer,Common_Dev_UNI_FEB28
Billing customer service please billing,Agent transfer,Common_Dev_UNI_FEB28
I have a billing issue please let me talk to a rep,Agent transfer,Common_Dev_UNI_FEB28
I paid my bill yesterday please connect me with an operator,Agent transfer,Common_Dev_UNI_FEB28
Customer service yes customer service please billing,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy in my bill I'd like to talk to a person,Agent transfer,Common_Dev_UNI_FEB28
Customer service rep please customer service billing whatever you need billing,Agent transfer,Common_Dev_UNI_FEB28
Billing customer service rep in billing please,Agent transfer,Common_Dev_UNI_FEB28
Billing billing customer service please,Agent transfer,Common_Dev_UNI_FEB28
New service billing Internet and phone is not connected and need to speak with a representative in regards to this,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy on my bill I'd like to talk to a representative,Agent transfer,Common_Dev_UNI_FEB28
Representative need to speak with a representative regarding email and also a representative regarding some billing questions,Agent transfer,Common_Dev_UNI_FEB28
billing representative billing,Agent transfer,Common_Dev_UNI_FEB28
Customer service please billing customer service,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy with my bill I would like to speak to an associate,Agent transfer,Common_Dev_UNI_FEB28
A discrepancy on my bill I'd like to speak to a representative,Agent transfer,Common_Dev_UNI_FEB28
A discrepancy on my bill I'd like to talk to someone about it,Agent transfer,Common_Dev_UNI_FEB28
Discrepancies on my bill would like to speak to a representative,Agent transfer,Common_Dev_UNI_FEB28
A discrepancy in my bill I'd like to speak to a person about,Agent transfer,Common_Dev_UNI_FEB28
Need to speak with someone in billing have a question about the bill,Agent transfer,Common_Dev_UNI_FEB28
A discrepancy in my billing I'd like to speak to a supervisor,Agent transfer,Common_Dev_UNI_FEB28
Internet bill I need an agent,Agent transfer,Common_Dev_UNI_FEB28
Agent speak to my agent billing question,Agent transfer,Common_Dev_UNI_FEB28
Agent about the bill,Agent transfer,Common_Dev_UNI_FEB28
Agent regarding bill,Agent transfer,Common_Dev_UNI_FEB28
Agent agent about bill,Agent transfer,Common_Dev_UNI_FEB28
Agent questions about my bill,Agent transfer,Common_Dev_UNI_FEB28
Agent regarding my bill agent,Agent transfer,Common_Dev_UNI_FEB28
Live agent regarding bill,Agent transfer,Common_Dev_UNI_FEB28
Agent about my bill,Agent transfer,Common_Dev_UNI_FEB28
Agent over the bill,Agent transfer,Common_Dev_UNI_FEB28
My prior carrier still billing me agent,Agent transfer,Common_Dev_UNI_FEB28
Agent discuss my bill,Agent transfer,Common_Dev_UNI_FEB28
Agent agent my bill,Agent transfer,Common_Dev_UNI_FEB28
Billing question about billing customer representative,Agent transfer,Common_Dev_UNI_FEB28
Agent bill talk about my bill,Agent transfer,Common_Dev_UNI_FEB28
Agent concerning my bill,Agent transfer,Common_Dev_UNI_FEB28
Agent over my billing dispute,Agent transfer,Common_Dev_UNI_FEB28
Agent discuss bill,Agent transfer,Common_Dev_UNI_FEB28
Representative I don't care wheeler billing,Agent transfer,Common_Dev_UNI_FEB28
Agent I want to bill,Agent transfer,Common_Dev_UNI_FEB28
Agent about my bill agent,Agent transfer,Common_Dev_UNI_FEB28
Agent please problem with bill,Agent transfer,Common_Dev_UNI_FEB28
Representative about billing question,Agent transfer,Common_Dev_UNI_FEB28
Help with my bill representative,Agent transfer,Common_Dev_UNI_FEB28
Questions about billing representative,Agent transfer,Common_Dev_UNI_FEB28
Agent question about my bill,Agent transfer,Common_Dev_UNI_FEB28
Agent about my bill cable bill,Agent transfer,Common_Dev_UNI_FEB28
Representative to lower my voice bills cancel,Agent transfer,Common_Dev_UNI_FEB28
Speak on my bill representative,Agent transfer,Common_Dev_UNI_FEB28
Representative wanna pay my bill,Agent transfer,Common_Dev_UNI_FEB28
Question about billing representative,Agent transfer,Common_Dev_UNI_FEB28
Question on billing need representative,Agent transfer,Common_Dev_UNI_FEB28
Representative I wanna make my my my bill lower,Agent transfer,Common_Dev_UNI_FEB28
Help representative reduce my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative need to lower my monthly bill,Agent transfer,Common_Dev_UNI_FEB28
Go over my bill representative representative,Agent transfer,Common_Dev_UNI_FEB28
Representative I'll pay bill,Agent transfer,Common_Dev_UNI_FEB28
Representative pay my bill pay my bill,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill representative representative,Agent transfer,Common_Dev_UNI_FEB28
Representative disconnect change my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative to pay my bill representative,Agent transfer,Common_Dev_UNI_FEB28
Representative pay bill I need a representative,Agent transfer,Common_Dev_UNI_FEB28
Pay my bills agent please represent representative,Agent transfer,Common_Dev_UNI_FEB28
Not happy with my bill customer service,Agent transfer,Common_Dev_UNI_FEB28
Representative appointment pay my bill,Agent transfer,Common_Dev_UNI_FEB28
Speak concerning my new bill,Agent transfer,Common_Dev_UNI_FEB28
Representative I wanna pay bill,Agent transfer,Common_Dev_UNI_FEB28
Representative I wanna pay my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative please questions about my bill,Agent transfer,Common_Dev_UNI_FEB28
Pay my bill representative representative representative representative,Agent transfer,Common_Dev_UNI_FEB28
Go over bill my bill representative,Agent transfer,Common_Dev_UNI_FEB28
Representative I wanna pay the bill,Agent transfer,Common_Dev_UNI_FEB28
Representative please regarding a bill,Agent transfer,Common_Dev_UNI_FEB28
Representative please system bill,Agent transfer,Common_Dev_UNI_FEB28
Not happy with my bill customer service rep,Agent transfer,Common_Dev_UNI_FEB28
Customer service problems with my bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service dispute with my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative please discuss my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative please cable bill,Agent transfer,Common_Dev_UNI_FEB28
Representative representative please regarding my bill,Agent transfer,Common_Dev_UNI_FEB28
Representative please concerning my bill,Agent transfer,Common_Dev_UNI_FEB28
Need representative regarding my current bill,Agent transfer,Common_Dev_UNI_FEB28
Representative please regarding bill,Agent transfer,Common_Dev_UNI_FEB28
Representative please questions on bill,Agent transfer,Common_Dev_UNI_FEB28
Representative please bill questions,Agent transfer,Common_Dev_UNI_FEB28
Representative please to discuss bill,Agent transfer,Common_Dev_UNI_FEB28
Representative please regarding my bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy in mobile bill,Agent transfer,Common_Dev_UNI_FEB28
Representative please question about my bill,Agent transfer,Common_Dev_UNI_FEB28
No representative please bill,Agent transfer,Common_Dev_UNI_FEB28
Representative please discuss bill,Agent transfer,Common_Dev_UNI_FEB28
Customer service billing thank you,Agent transfer,Common_Dev_UNI_FEB28
Bill discrepancy bill payment,Agent transfer,Common_Dev_UNI_FEB28
Auto pay bill discrepancy,Agent transfer,Common_Dev_UNI_FEB28
Billing billing inaccuracy,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy on phone bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy in bill payment,Agent transfer,Common_Dev_UNI_FEB28
Online billing discrepancy,Agent transfer,Common_Dev_UNI_FEB28
Billing billing discrepancies,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy in phone bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy with bill payment,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy on bill payment,Agent transfer,Common_Dev_UNI_FEB28
Inconsistencies billing,Agent transfer,Common_Dev_UNI_FEB28
Transfer account discrepancy on billing,Agent transfer,Common_Dev_UNI_FEB28
Billing discrepancy billing,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy on billing,Agent transfer,Common_Dev_UNI_FEB28
Corporate billing discrepancy,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy with billing statement,Agent transfer,Common_Dev_UNI_FEB28
A billing discrepancy,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy with billing,Agent transfer,Common_Dev_UNI_FEB28
Internet billing discrepancy,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy in billing charges,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy on a bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy in billing amount,Agent transfer,Common_Dev_UNI_FEB28
Billing billing discrepancy,Agent transfer,Common_Dev_UNI_FEB28
Payment discrepancy billing,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy of billing,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy on the bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy in billing,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy in the billing,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy billing,Agent transfer,Common_Dev_UNI_FEB28
The discrepancy in the bills,Agent transfer,Common_Dev_UNI_FEB28
A discrepancy in the bill from last month,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy in this latest bill,Agent transfer,Common_Dev_UNI_FEB28
Inconsistency in billing,Agent transfer,Common_Dev_UNI_FEB28
For billing discrepancies,Agent transfer,Common_Dev_UNI_FEB28
A discrepancy on the bill,Agent transfer,Common_Dev_UNI_FEB28
A discrepancy in the bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy in bill amount,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy about a bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy with bill representative representative,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy with bill,Agent transfer,Common_Dev_UNI_FEB28
A discrepancy with the bill,Agent transfer,Common_Dev_UNI_FEB28
No discrepancy in the bill,Agent transfer,Common_Dev_UNI_FEB28
Inconsistency inconsistency in the bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy with estimated bill,Agent transfer,Common_Dev_UNI_FEB28
A discrepancy in our bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy on bill amount,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy on our bill,Agent transfer,Common_Dev_UNI_FEB28
A bill discrepancy,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy on bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy in bill,Agent transfer,Common_Dev_UNI_FEB28
Inconsistency in the bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy on the current bill,Agent transfer,Common_Dev_UNI_FEB28
Some discrepancies on the bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy of the bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy on current bill,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy in bill due,Agent transfer,Common_Dev_UNI_FEB28
Discrepancy in amount of bill,Agent transfer,Common_Dev_UNI_FEB28
Dispute bill discrepancy,Agent transfer,Common_Dev_UNI_FEB28
Discrepancies about bill,Agent transfer,Common_Dev_UNI_FEB28
