sentence,intent,cluster_id
Increased Bill,About my cable bill why is it two hundred and sixty two dollars,24
Increased Bill,What is the twenty three dollars and fifty cent one outlet charge for on my cable bill,24
Increased Bill,Why do I have thirty dollars and thirty one cents online billing,24
Increased Bill,Why was the modem not working like to pay my bill is two hundred something dollars,24
Make a Payment,Damn to lower my bill,25
Increased Bill,My bill is a little too high I need to work on lowering my bill,25
Increased Bill,I need to lower my bill I'm just getting new equipment,25
Increased Bill,My bill is too high I'm trying to find out different packages,25
Increased Bill,My bill is too high I need to go back to basic,25
Increased Bill,My bill is too high I need to change plans,25
Increased Bill,Yes ma'am I'm calling about my bill why my bill is so high,25
Increased Bill,I'm trying to get a new promotions my bill is too high,26
Increased Bill,My bill too high I'm looking for a new promotion,26
Increased Bill,I need a new promo my bill is too high,26
Make a Payment,I need to pay the bill and disconnect the service please,27
Increased Bill,I want to rearrange my service because my bill is getting too high,27
Increased Bill,My bill is too high I need to get rid of some of my services,27
Increased Bill,My bill is too high I'm gonna cut my services,27
Increased Bill,My bill is too high I'm gonna have to disconnect fencing,27
Increased Bill,My bill is too expensive and I need to disconnect,27
Increased Bill,My bill is getting too high I wanna disconnect my service,27
Increased Bill,My bill is too high I am considering disconnecting,27
Increased Bill,Why is my bill so high if I speak to a three one five,28
Transfer,My bill and why I was shut off,28
Increased Bill,To pay my bill and ask why it went up five or six dollars,28
Increased Bill,To pay my bill and find out why it's thirty dollars,28
Increased Bill,To pay my bill and question why it went up in for six dollars and two cents,28
Increased Bill,You billed me seven hundred and fifty dollars on September nineteenth why,29
Increased Bill,What do I have one hundred and seven dollar bill,29
Increased Bill,The bill is forty four dollars and ninety eight cents why,29
Increased Bill,Yes did you see how much water bill is seventy dollars,29
Increased Bill,Oh my bill from nine seven to ten six is two hundred and nine dollars why is that,29
Increased Bill,Why am I being billed thirty nine ninety nine instead of twenty nine ninety nine,29
Increased Bill,Where is the six hundred dollar credit that supposed to be on my bill,29
Increased Bill,How can three dollars to my bill,29
